instrument_token,tradingsymbol,name,exchange,instrument_type,segment,lot_size,tick_size
7406849,1025SCL34Z-N1,"",NSE,EQ,NSE,1,0.05
7739905,1025SCL35-N1,"",NSE,EQ,NSE,1,0.05
7732225,1025SCL35A-N1,"",NSE,EQ,NSE,1,0.05
3899137,1025SFIL26-NT,"",NSE,EQ,NSE,1,0.05
5845761,1025UCL25-N8,"",NSE,EQ,NSE,1,0.05
6633985,1025UCL26A-N1,"",NSE,EQ,NSE,1,0.05
193536513,1025UCL27A-NG,"",NSE,EQ,NSE,1,0.05
7415553,102CCSP27A-N0,"",NSE,EQ,NSE,1,0.05
3591169,1030SFIL26-NJ,"",NSE,EQ,NSE,1,0.05
3592705,1030SFIL28-NM,"",NSE,EQ,NSE,1,0.05
5987841,1035CCSP26-N2,"",NSE,EQ,NSE,1,0.05
6042625,1035CCSP27-N3,"",NSE,EQ,NSE,1,0.05
5846785,1035UCL26-NA,"",NSE,EQ,NSE,1,0.05
193535489,1039UCL26-NE,"",NSE,EQ,NSE,1,0.05
5918465,1040NFL26-NA,"",NSE,EQ,NSE,1,0.05
6634497,1040UCL27B-N1,"",NSE,EQ,NSE,1,0.05
5868289,1048IIFL27-N6,"",NSE,EQ,NSE,1,0.05
6180609,1050IIFL29-ND,"",NSE,EQ,NSE,1,0.05
5320705,1050ISFL28-N5,"",NSE,EQ,NSE,1,0.05
4441345,1050NFL26-N7,"",NSE,EQ,NSE,1,0.05
5967617,1050SCFL31-Z2,"",NSE,EQ,NSE,1,0.05
5148417,1050SCL30-NU,"",NSE,EQ,NSE,1,0.05
6134785,1050SCL31-ZP,"",NSE,EQ,NSE,1,0.05
6544385,1050SCL31A-N1,"",NSE,EQ,NSE,1,0.05
7405569,1050SCL31T-N1,"",NSE,EQ,NSE,1,0.05
7741953,1050SCL32-N1,"",NSE,EQ,NSE,1,0.05
3901441,1050SFIL28-NV,"",NSE,EQ,NSE,1,0.05
2874881,1050UCL25-N7,"",NSE,EQ,NSE,1,0.05
193537025,1050UCL28-NH,"",NSE,EQ,NSE,1,0.05
4876033,105IIFL29-N7,"",NSE,EQ,NSE,1,0.05
5847297,105UCL2026-NB,"",NSE,EQ,NSE,1,0.05
2044417,1060ECL29-NS,"",NSE,EQ,NSE,1,0.05
5919489,1065NFL27-NC,"",NSE,EQ,NSE,1,0.05
4440833,1075NFL25-N6,"",NSE,EQ,NSE,1,0.05
5969665,1075SCFL34-Z6,"",NSE,EQ,NSE,1,0.05
5386753,1075SCL33-YK,"",NSE,EQ,NSE,1,0.05
4838913,1075SCL33A-N2,"",NSE,EQ,NSE,1,0.05
5150209,1075SCL33B-NW,"",NSE,EQ,NSE,1,0.05
6136321,1075SCL34-ZR,"",NSE,EQ,NSE,1,0.05
6545921,1075SCL34C-N1,"",NSE,EQ,NSE,1,0.05
7406337,1075SCL34T-N1,"",NSE,EQ,NSE,1,0.05
7739393,1075SCL35-N1,"",NSE,EQ,NSE,1,0.05
5846273,1075UCL25-N9,"",NSE,EQ,NSE,1,0.05
5894145,1077IIFL30-N7,"",NSE,EQ,NSE,1,0.05
5918977,1090NFL26-NB,"",NSE,EQ,NSE,1,0.05
3191041,10CAGL27-N5,"",NSE,EQ,NSE,1,0.05
3596545,10IFSL26-N7,"",NSE,EQ,NSE,1,0.05
6225665,10IIFL26-N0,"",NSE,EQ,NSE,1,0.05
1334273,10IIFL28-N4,"",NSE,EQ,NSE,1,0.05
734977,10IIFL28A-NE,"",NSE,EQ,NSE,1,0.05
4875521,10IIFL29-N6,"",NSE,EQ,NSE,1,0.05
6179585,10IIFLSF27-NB,"",NSE,EQ,NSE,1,0.05
5317377,10ISFL26-N3,"",NSE,EQ,NSE,1,0.05
5917953,10NFL25-N9,"",NSE,EQ,NSE,1,0.05
4573697,10NIDO26-N6,"",NSE,EQ,NSE,1,0.05
4830209,10SCL30A-BV,"",NSE,EQ,NSE,1,0.05
5967105,10SCL31-Z1,"",NSE,EQ,NSE,1,0.05
6134017,10SCL31A-ZO,"",NSE,EQ,NSE,1,0.05
193534977,10UCL26-ND,"",NSE,EQ,NSE,1,0.05
4442113,1102NFL26-N8,"",NSE,EQ,NSE,1,0.05
5920001,1119NFL27-ND,"",NSE,EQ,NSE,1,0.05
194020353,111ESFB31-N0,"",NSE,EQ,NSE,1,0.05
193976065,115VCCL27-N0,"",NSE,EQ,NSE,1,0.05
6608897,116VCCL26-N0,"",NSE,EQ,NSE,1,0.05
194135041,116VCCL26A-N0,"",NSE,EQ,NSE,1,0.05
5900289,1175PPPL27-N0,"",NSE,EQ,NSE,1,0.05
6608385,1180VCCL26-N0,"",NSE,EQ,NSE,1,0.05
194135553,118VCCL27-N0,"",NSE,EQ,NSE,1,0.05
6201089,1190VCCL26-N0,"",NSE,EQ,NSE,1,0.05
6355969,119VCCL26-N0,"",NSE,EQ,NSE,1,0.05
5847809,11UCL26-NC,"",NSE,EQ,NSE,1,0.05
6227457,1278VCCL25-N0,"",NSE,EQ,NSE,1,0.05
6518785,12VCCL27-N0,"",NSE,EQ,NSE,1,0.05
6607873,12VCCL27A-N0,"",NSE,EQ,NSE,1,0.05
7615745,12VCCL27B-N0,"",NSE,EQ,NSE,1,0.05
194134529,12VCCL27D-N0,"",NSE,EQ,NSE,1,0.05
6519297,12VCCL29-N0,"",NSE,EQ,NSE,1,0.05
7494145,12VCCL29A-N0,"",NSE,EQ,NSE,1,0.05
193770497,12VCCL29B-N0,"",NSE,EQ,NSE,1,0.05
193976577,12VCCL29C-N0,"",NSE,EQ,NSE,1,0.05
5993985,135VCCL25-N0,"",NSE,EQ,NSE,1,0.05
7748865,14RARL30-N0,"",NSE,EQ,NSE,1,0.05
6321409,1650RARL27-N0,"",NSE,EQ,NSE,1,0.05
193982977,182D010126-TB,""GOI TBILL 182D-01/01/26"",NSE,EQ,NSE,1,0.05
193573889,182D021025-TB,""GOI TBILL 182D-02/10/25"",NSE,EQ,NSE,1,0.05
7676673,182D040925-TB,""GOI TBILL 182D-04/09/25"",NSE,EQ,NSE,1,0.05
193894913,182D041225-TB,""GOI TBILL 182D-04/12/25"",NSE,EQ,NSE,1,0.05
193758465,182D061125-TB,""GOI TBILL 182D-06/11/25"",NSE,EQ,NSE,1,0.05
7546881,182D070825-TB,""GOI TBILL 182D-07/08/25"",NSE,EQ,NSE,1,0.05
193964033,182D080126-TB,""GOI TBILL 182D-08/01/26"",NSE,EQ,NSE,1,0.05
193499905,182D101025-TB,""GOI TBILL 182D-10/10/25"",NSE,EQ,NSE,1,0.05
7706369,182D110925-TB,""GOI TBILL 182D-11/09/25"",NSE,EQ,NSE,1,0.05
193906433,182D111225-TB,""GOI TBILL 182D-11/12/25"",NSE,EQ,NSE,1,0.05
193822977,182D131125-TB,""GOI TBILL 182D-13/11/25"",NSE,EQ,NSE,1,0.05
7572737,182D140825-TB,""GOI TBILL 182D-14/08/25"",NSE,EQ,NSE,1,0.05
194024449,182D150126-TB,""GOI TBILL 182D-15/01/26"",NSE,EQ,NSE,1,0.05
193517569,182D161025-TB,""GOI TBILL 182D-16/10/25"",NSE,EQ,NSE,1,0.05
7727873,182D180925-TB,""GOI TBILL 182D-18/09/25"",NSE,EQ,NSE,1,0.05
193740801,182D181225-TB,""GOI TBILL 182D-18/12/25"",NSE,EQ,NSE,1,0.05
193745665,182D201125-TB,""GOI TBILL 182D-20/11/25"",NSE,EQ,NSE,1,0.05
193975553,182D220126-TB,""GOI TBILL 182D-22/01/26"",NSE,EQ,NSE,1,0.05
193553153,182D231025-TB,""GOI TBILL 182D-23/10/25"",NSE,EQ,NSE,1,0.05
7784961,182D250925-TB,""GOI TBILL 182D-25/09/25"",NSE,EQ,NSE,1,0.05
193936129,182D251225-TB,""GOI TBILL 182D-25/12/25"",NSE,EQ,NSE,1,0.05
193803009,182D271125-TB,""GOI TBILL 182D-27/11/25"",NSE,EQ,NSE,1,0.05
7656961,182D290825-TB,""GOI TBILL 182D-29/08/25"",NSE,EQ,NSE,1,0.05
7501569,182D310725-TB,""GOI TBILL 182D-31/07/25"",NSE,EQ,NSE,1,0.05
193718273,182D311025-TB,""GOI TBILL 182D-31/10/25"",NSE,EQ,NSE,1,0.05
5916417,18MVL27-N0,"",NSE,EQ,NSE,1,0.05
193544961,18PVL29-N0,"",NSE,EQ,NSE,1,0.05
193545473,18PVL29A-N0,"",NSE,EQ,NSE,1,0.05
4331777,20MICRONS,""20 MICRONS"",NSE,EQ,NSE,1,0.05
1025,21STCENMGM,""21ST CENTURY MGMT SERVICE"",NSE,EQ,NSE,1,0.05
3343617,360ONE,""360 ONE WAM"",NSE,EQ,NSE,1,0.05
7421697,364D010126-TB,""GOI TBILL 364D-01/01/26"",NSE,EQ,NSE,1,0.05
193718529,364D010526-TB,""GOI TBILL 364D-01/05/26"",NSE,EQ,NSE,1,0.05
193574145,364D020426-TB,""GOI TBILL 364D-02/04/26"",NSE,EQ,NSE,1,0.05
193983233,364D020726-TB,""GOI TBILL 364D-02/07/26"",NSE,EQ,NSE,1,0.05
6574849,364D031025-TB,""GOI TBILL 364D-03/10/25"",NSE,EQ,NSE,1,0.05
193895169,364D040626-TB,""GOI TBILL 364D-04/06/26"",NSE,EQ,NSE,1,0.05
6428929,364D040925-TB,""GOI TBILL 364D-04/09/25"",NSE,EQ,NSE,1,0.05
6996737,364D041225-TB,""GOI TBILL 364D-04/12/25"",NSE,EQ,NSE,1,0.05
7547137,364D050226-TB,""GOI TBILL 364D-05/02/26"",NSE,EQ,NSE,1,0.05
7676929,364D050326-TB,""GOI TBILL 364D-05/03/26"",NSE,EQ,NSE,1,0.05
6915841,364D061125-TB,""GOI TBILL 364D-06/11/25"",NSE,EQ,NSE,1,0.05
193758721,364D070526-TB,""GOI TBILL 364D-07/05/26"",NSE,EQ,NSE,1,0.05
6341633,364D070825-TB,""GOI TBILL 364D-07/08/25"",NSE,EQ,NSE,1,0.05
7435777,364D080126-TB,""GOI TBILL 364D-08/01/26"",NSE,EQ,NSE,1,0.05
193964289,364D090726-TB,""GOI TBILL 364D-09/07/26"",NSE,EQ,NSE,1,0.05
6599425,364D091025-TB,""GOI TBILL 364D-09/10/25"",NSE,EQ,NSE,1,0.05
193500161,364D100426-TB,""GOI TBILL 364D-10/04/26"",NSE,EQ,NSE,1,0.05
193906689,364D110626-TB,""GOI TBILL 364D-11/06/26"",NSE,EQ,NSE,1,0.05
6456577,364D110925-TB,""GOI TBILL 364D-11/09/25"",NSE,EQ,NSE,1,0.05
7092225,364D111225-TB,""GOI TBILL 364D-11/12/25"",NSE,EQ,NSE,1,0.05
7572993,364D120226-TB,""GOI TBILL 364D-12/02/26"",NSE,EQ,NSE,1,0.05
7706625,364D120326-TB,""GOI TBILL 364D-12/03/26"",NSE,EQ,NSE,1,0.05
6942721,364D131125-TB,""GOI TBILL 364D-13/11/25"",NSE,EQ,NSE,1,0.05
193823233,364D140526-TB,""GOI TBILL 364D-14/05/26"",NSE,EQ,NSE,1,0.05
7458817,364D150126-TB,""GOI TBILL 364D-15/01/26"",NSE,EQ,NSE,1,0.05
6360577,364D150825-TB,""GOI TBILL 364D-15/08/25"",NSE,EQ,NSE,1,0.05
193517825,364D160426-TB,""GOI TBILL 364D-16/04/26"",NSE,EQ,NSE,1,0.05
194024705,364D160726-TB,""GOI TBILL 364D-16/07/26"",NSE,EQ,NSE,1,0.05
6610945,364D161025-TB,""GOI TBILL 364D-16/10/25"",NSE,EQ,NSE,1,0.05
193741057,364D180626-TB,""GOI TBILL 364D-18/06/26"",NSE,EQ,NSE,1,0.05
7247617,364D181225-TB,""GOI TBILL 364D-18/12/25"",NSE,EQ,NSE,1,0.05
7728129,364D190326-TB,""GOI TBILL 364D-19/03/26"",NSE,EQ,NSE,1,0.05
7600897,364D200226-TB,""GOI TBILL 364D-20/02/26"",NSE,EQ,NSE,1,0.05
193745921,364D210526-TB,""GOI TBILL 364D-21/05/26"",NSE,EQ,NSE,1,0.05
6373889,364D210825-TB,""GOI TBILL 364D-21/08/25"",NSE,EQ,NSE,1,0.05
6952193,364D211125-TB,""GOI TBILL 364D-21/11/25"",NSE,EQ,NSE,1,0.05
7478529,364D220126-TB,""GOI TBILL 364D-22/01/26"",NSE,EQ,NSE,1,0.05
193975809,364D230726-TB,""GOI TBILL 364D-23/07/26"",NSE,EQ,NSE,1,0.05
6627585,364D231025-TB,""GOI TBILL 364D-23/10/25"",NSE,EQ,NSE,1,0.05
193553409,364D240426-TB,""GOI TBILL 364D-24/04/26"",NSE,EQ,NSE,1,0.05
193936385,364D250626-TB,""GOI TBILL 364D-25/06/26"",NSE,EQ,NSE,1,0.05
7785217,364D260326-TB,""GOI TBILL 364D-26/03/26"",NSE,EQ,NSE,1,0.05
7375873,364D261225-TB,""GOI TBILL 364D-26/12/25"",NSE,EQ,NSE,1,0.05
7657217,364D270226-TB,""GOI TBILL 364D-27/02/26"",NSE,EQ,NSE,1,0.05
6965761,364D271125-TB,""GOI TBILL 364D-27/11/25"",NSE,EQ,NSE,1,0.05
193803265,364D280526-TB,""GOI TBILL 364D-28/05/26"",NSE,EQ,NSE,1,0.05
6395649,364D280825-TB,""GOI TBILL 364D-28/08/25"",NSE,EQ,NSE,1,0.05
7501825,364D290126-TB,""GOI TBILL 364D-29/01/26"",NSE,EQ,NSE,1,0.05
6648833,364D301025-TB,""GOI TBILL 364D-30/10/25"",NSE,EQ,NSE,1,0.05
6315265,364D310725-TB,""GOI TBILL 364D-31/07/25"",NSE,EQ,NSE,1,0.05
1595393,3IINFOLTD,""3I INFOTECH"",NSE,EQ,NSE,1,0.05
121345,3MINDIA,""3M INDIA"",NSE,EQ,NSE,1,0.05
664321,3PLAND,""3P LAND HOLDINGS"",NSE,EQ,NSE,1,0.05
269825,515GS2025-GS,""GOI LOAN  5.15% 2025"",NSE,EQ,NSE,1,0.05
309761,532AS25-SG,""SDL AS 5.32% 2025"",NSE,EQ,NSE,1,0.05
466177,532AS26-SG,""SDL AS 5.32% 2026"",NSE,EQ,NSE,1,0.05
309505,532CG25-SG,""SDL CG 5.32% 2025"",NSE,EQ,NSE,1,0.05
435201,532RJ25-SG,""SDL RJ 5.32% 2025"",NSE,EQ,NSE,1,0.05
248577,535CG25-SG,""SDL CG 5.35% 2025"",NSE,EQ,NSE,1,0.05
387329,535RJ25-SG,""SDL RJ 5.35% 2025"",NSE,EQ,NSE,1,0.05
213761,538CG25-SG,""SDL CG 5.38% 2025"",NSE,EQ,NSE,1,0.05
308993,53BR25-SG,""SDL BR 5.3% 2025"",NSE,EQ,NSE,1,0.05
434433,541GA25-SG,""SDL GA 5.41% 2025"",NSE,EQ,NSE,1,0.05
5708801,549RJ25-SG,""SDL RJ 5.49% 2025"",NSE,EQ,NSE,1,0.05
819713,563GS2026-GS,""GOI LOAN  5.63% 2026"",NSE,EQ,NSE,1,0.05
482817,572BR26-SG,""SDL BR 5.72% 2026"",NSE,EQ,NSE,1,0.05
1713921,574GS2026-GS,""GOI LOAN  5.74% 2026"",NSE,EQ,NSE,1,0.05
214017,575PY26-SG,""SDL PY 5.75% 2026"",NSE,EQ,NSE,1,0.05
5706753,577GS2030-GS,""GOI LOAN 5.77% 2030"",NSE,EQ,NSE,1,0.05
4827393,579GS2030-GS,""GOI LOAN 5.79% 2030"",NSE,EQ,NSE,1,0.05
5613313,57KA26-SG,""SDL KA 5.7% 2026"",NSE,EQ,NSE,1,0.05
495617,582BR26-SG,""SDL BR 5.82% 2026"",NSE,EQ,NSE,1,0.05
466945,582RJ27-SG,""SDL RJ 5.82% 2027"",NSE,EQ,NSE,1,0.05
343297,585GS2030-GS,""GOI LOAN  5.85% 2030"",NSE,EQ,NSE,1,0.05
435969,588CG26-SG,""SDL CG 5.88% 2026"",NSE,EQ,NSE,1,0.05
5735425,589RJ25-SG,""SDL RJ 5.89% 2025"",NSE,EQ,NSE,1,0.05
193984769,591GS2028-GS,""GOI LOAN  5.91% 2028"",NSE,EQ,NSE,1,0.05
370945,593CG26-SG,""SDL CG 5.93% 2026"",NSE,EQ,NSE,1,0.05
108289,594CG25-SG,""SDL CG 5.94% 2025"",NSE,EQ,NSE,1,0.05
1505281,596PY26-SG,""SDL PY 5.96% 2026"",NSE,EQ,NSE,1,0.05
483073,597CG27-SG,""SDL CG 5.97% 2027"",NSE,EQ,NSE,1,0.05
1758977,597GS2025-GS,""GOI LOAN 5.97% 2025"",NSE,EQ,NSE,1,0.05
1414401,599MP26-SG,""SDL MP 5.99% 2026"",NSE,EQ,NSE,1,0.05
113921,5PAISA,""5PAISA CAPITAL"",NSE,EQ,NSE,1,0.05
1757697,601GS2028-GS,""GOI LOAN 6.01% 2028"",NSE,EQ,NSE,1,0.05
194043649,601GS2030-GS,""GOI LOAN  6.01% 2030"",NSE,EQ,NSE,1,0.05
1534465,601RJ26-SG,""SDL RJ 6.01% 2026"",NSE,EQ,NSE,1,0.05
107009,604AS25-SG,""SDL AS 6.04% 2025"",NSE,EQ,NSE,1,0.05
1801729,604AS26-SG,""SDL AS 6.04% 2026"",NSE,EQ,NSE,1,0.05
1589505,604GJ26-SG,""SDL GJ 6.04% 2026"",NSE,EQ,NSE,1,0.05
5735169,604KL25-SG,""SDL KL 6.04% 2025"",NSE,EQ,NSE,1,0.05
15873,605AS25-SG,""SDL AS 6.05% 2025"",NSE,EQ,NSE,1,0.05
1169921,605RJ26-SG,""SDL RJ 6.05% 2026"",NSE,EQ,NSE,1,0.05
1788673,607RJ26-SG,""SDL RJ 6.07% 2026"",NSE,EQ,NSE,1,0.05
1613825,609AS26-SG,""SDL AS 6.09% 2026"",NSE,EQ,NSE,1,0.05
5614081,609KA28-SG,""SDL KA 6.09% 2028"",NSE,EQ,NSE,1,0.05
544001,609RJ26-SG,""SDL RJ 6.09% 2026"",NSE,EQ,NSE,1,0.05
193900801,60TN28-SG,""SDL TN 6.0% 2028"",NSE,EQ,NSE,1,0.05
1283073,610GS2031-GS,""GOI LOAN  6.10% 2031"",NSE,EQ,NSE,1,0.05
5613825,612KA27-SG,""SDL KA 6.12% 2027"",NSE,EQ,NSE,1,0.05
1758209,613GS2028-GS,""GOI LOAN 6.13% 2028"",NSE,EQ,NSE,1,0.05
194030337,613OR28-SG,""SDL OR 6.13% 2028"",NSE,EQ,NSE,1,0.05
900097,613RJ26-SG,""SDL RJ 6.13% 2026"",NSE,EQ,NSE,1,0.05
437505,617KL27-SG,""SDL KL 6.17% 2027"",NSE,EQ,NSE,1,0.05
782849,618GJ26-SG,""SDL GJ 6.18% 2026"",NSE,EQ,NSE,1,0.05
2020353,618GJ26A-SG,""SDL GJ 6.18% 2026"",NSE,EQ,NSE,1,0.05
543489,619AS26-SG,""SDL AS 6.19% 2026"",NSE,EQ,NSE,1,0.05
4857089,619GS2034-GS,""GOI LOAN 6.19% 2034"",NSE,EQ,NSE,1,0.05
515329,61CG27-SG,""SDL CG 6.1% 2027"",NSE,EQ,NSE,1,0.05
193935105,61GJ28-SG,""SDL GJ 6.1% 2028"",NSE,EQ,NSE,1,0.05
931329,61RJ26-SG,""SDL RJ 6.1% 2026"",NSE,EQ,NSE,1,0.05
214273,61RJ27-SG,""SDL RJ 6.1% 2027"",NSE,EQ,NSE,1,0.05
569345,621AS26-SG,""SDL AS 6.21% 2026"",NSE,EQ,NSE,1,0.05
193796609,622AS30-SG,""SDL AS 6.22% 2030"",NSE,EQ,NSE,1,0.05
243969,622GS2035-GS,""GOI LOAN  6.22% 2035"",NSE,EQ,NSE,1,0.05
348417,622KL27-SG,""SDL KL 6.22% 2027"",NSE,EQ,NSE,1,0.05
1504513,623RJ27-SG,""SDL RJ 6.23% 2027"",NSE,EQ,NSE,1,0.05
5539841,624HR26-SG,""SDL HR 6.24% 2026"",NSE,EQ,NSE,1,0.05
1364481,624MH26-SG,""SDL MH 6.24% 2026"",NSE,EQ,NSE,1,0.05
5618433,624MH28-SG,""SDL MH 6.24% 2028"",NSE,EQ,NSE,1,0.05
1244929,624RJ26-SG,""SDL RJ 6.24% 2026"",NSE,EQ,NSE,1,0.05
5679873,624TS26-SG,""SDL TS 6.24% 2026"",NSE,EQ,NSE,1,0.05
1337857,625AS26-SG,""SDL AS 6.25% 2026"",NSE,EQ,NSE,1,0.05
193906945,627PFCL27-N0,"",NSE,EQ,NSE,1,0.05
1299969,627RJ26-SG,""SDL RJ 6.27% 2026"",NSE,EQ,NSE,1,0.05
1414145,628GJ27-SG,""SDL GJ 6.28% 2027"",NSE,EQ,NSE,1,0.05
194046465,628GS2032-GS,""GOI LOAN  6.28% 2032"",NSE,EQ,NSE,1,0.05
5411841,629HP26-SG,""SDL HP 6.29% 2026"",NSE,EQ,NSE,1,0.05
1286401,629RJ26-SG,""SDL RJ 6.29% 2026"",NSE,EQ,NSE,1,0.05
1920001,629RJ26A-SG,""SDL RJ 6.29% 2026"",NSE,EQ,NSE,1,0.05
2050561,62RJ26-SG,""SDL RJ 6.2% 2026"",NSE,EQ,NSE,1,0.05
5701633,62RJ27-SG,""SDL RJ 6.2% 2027"",NSE,EQ,NSE,1,0.05
5709313,632KA28-SG,""SDL KA 6.32% 2028"",NSE,EQ,NSE,1,0.05
1275393,633AS26-SG,""SDL AS 6.33% 2026"",NSE,EQ,NSE,1,0.05
1918721,633AS26A-SG,""SDL AS 6.33% 2026"",NSE,EQ,NSE,1,0.05
193763841,633GS2035-GS,""GOI LOAN  6.33% 2035"",NSE,EQ,NSE,1,0.05
5666561,633TN30-SG,""SDL TN 6.33% 2030"",NSE,EQ,NSE,1,0.05
1614593,634RJ27-SG,""SDL RJ 6.34% 2027"",NSE,EQ,NSE,1,0.05
5266433,635AP27-SG,""SDL AP 6.35% 2027"",NSE,EQ,NSE,1,0.05
194134017,635LT28-N0,"",NSE,EQ,NSE,1,0.05
310273,635MH28-SG,""SDL MH 6.35% 2028"",NSE,EQ,NSE,1,0.05
5700353,636HP28-SG,""SDL HP 6.36% 2028"",NSE,EQ,NSE,1,0.05
194123265,637RECL27-N0,"",NSE,EQ,NSE,1,0.05
1399553,638MH27-SG,""SDL MH 6.38% 2027"",NSE,EQ,NSE,1,0.05
5541633,639AP26-SG,""SDL AP 6.39% 2026"",NSE,EQ,NSE,1,0.05
934401,639BR27-SG,""SDL BR 6.39% 2027"",NSE,EQ,NSE,1,0.05
3038209,63MOONS,""63 MOONS TECHNOLOGIES"",NSE,EQ,NSE,1,0.05
607233,63PY26-SG,""SDL PY 6.3% 2026"",NSE,EQ,NSE,1,0.05
1831169,63PY27-SG,""SDL PY 6.3% 2027"",NSE,EQ,NSE,1,0.05
193893889,640TN32-SG,""SDL TN 6.40% 2032"",NSE,EQ,NSE,1,0.05
5386241,641GA30-SG,""SDL GA 6.41% 2030"",NSE,EQ,NSE,1,0.05
5658369,641TN30-SG,""SDL TN 6.41% 2030"",NSE,EQ,NSE,1,0.05
218113,642GA30-SG,""SDL GA 6.42% 2030"",NSE,EQ,NSE,1,0.05
193742593,642JK31-SG,""SDL JK 6.42% 2031"",NSE,EQ,NSE,1,0.05
193901057,642JK31A-SG,""SDL JK 6.42% 2031"",NSE,EQ,NSE,1,0.05
5611265,642MN30-SG,""SDL MN 6.42% 2030"",NSE,EQ,NSE,1,0.05
5708289,642PN30-SG,""SDL PN 6.42% 2030"",NSE,EQ,NSE,1,0.05
193737473,642TN31-SG,""SDL TN 6.42% 2031"",NSE,EQ,NSE,1,0.05
217345,642UP30-SG,""SDL UP 6.42% 2030"",NSE,EQ,NSE,1,0.05
249857,643AP30-SG,""SDL AP 6.43% 2030"",NSE,EQ,NSE,1,0.05
699649,643AS26-SG,""SDL AS 6.43% 2026"",NSE,EQ,NSE,1,0.05
1385985,643MH27-SG,""SDL MH 6.43% 2027"",NSE,EQ,NSE,1,0.05
2013953,643RJ27-SG,""SDL RJ 6.43% 2027"",NSE,EQ,NSE,1,0.05
5747457,643UK30-SG,""SDL UK 6.43% 2030"",NSE,EQ,NSE,1,0.05
5273857,644GJ29-SG,""SDL GJ 6.44% 2029"",NSE,EQ,NSE,1,0.05
5718273,644GJ29A-SG,""SDL GJ 6.44% 2029"",NSE,EQ,NSE,1,0.05
5719553,644MH28-SG,""SDL MH 6.44% 2028"",NSE,EQ,NSE,1,0.05
218369,644UK30-SG,""SDL UK 6.44% 2030"",NSE,EQ,NSE,1,0.05
5699073,644UP30-SG,""SDL UP 6.44% 2030"",NSE,EQ,NSE,1,0.05
945921,645BR27-SG,""SDL BR 6.45% 2027"",NSE,EQ,NSE,1,0.05
5746689,645GJ30-SG,""SDL GJ 6.45% 2030"",NSE,EQ,NSE,1,0.05
467713,645GJ30A-SG,""SDL GJ 6.45% 2030"",NSE,EQ,NSE,1,0.05
3448833,645GS2029-GS,""GOI LOAN 6.45% 2029"",NSE,EQ,NSE,1,0.05
214529,645HP29-SG,""SDL HP 6.45% 2029"",NSE,EQ,NSE,1,0.05
